a;that
asɛm a wɔde kɔdan asɛnnibea;sue
asɛm a wɔka;utterance
asɛm a wɔka kyerɛ;adage
asɛm a wɔka kyerɛ;anecdote
asɛm a wɔka kyerɛ;narration
asɛm a wɔka kyerɛ;propound
asɛm a wɔka kyerɛ;stutter
asɛm a wɔka kyerɛ anyansafo;word to the wise
asɛm a wɔka kyerɛ sɛ wɔmfa wɔn ho nhyɛ mu;disclaimer
asɛm a wɔka no mpɛn pii;iterative
asɛm a wɔka no pen;candid
asɛm a wɔka sie;assertion
asɛm a wɔka sie;assertiveness
asɛm a wɔmfa nyɛ hwee;trivialization
asɛm a wɔpow;negation
asɛm a wɔte;hearing
asɛm a ɛbae;happenstance
asɛm a ɛboro so;superessive case
asɛm a ɛboro so;superlative
asɛm a ɛfa asɛm no ho;case in point
asɛm a ɛfa ho;substantive
asɛm a ɛfa obi a ɔwɔ obi ho;possessive case
asɛm a ɛfa obi ankasa ho;subjective
asɛm a ɛho hia;critical point
asɛm a ɛho nhia;frivolity
asɛm a ɛho nni asɛm;innocence
asɛm a ɛho ntew;profane
asɛm a ɛkyerɛ nidi;word of honor
asɛm a ɛkyerɛkyerɛ;instructive case
asɛm a ɛne ne ho bɔ abira;antithesis
asɛm a ɛwɔ anim;cover story
asɛm a ɛwɔ ase hɔ no;bottom line
asɛm a ɛyɛ hu;horror story
asɛm a ɛyɛ hu;suspenseful
asɛm a ɛyɛ nokware;matter of course
asɛm a ɛyɛ nokware;matter-of-fact
asɛm a ɛyɛ pintinn;definite article
asɛm a ɛyɛ pɛpɛɛpɛ;absolutive case
asɛm a ɛyɛ tiawa;pithy
asɛm dedaw koro no ara;same old story
asɛm ho mmara;case law
asɛm kɛse;big deal
asɛm tenten tiawa;long story short
asɛm tiawa;short story
asɛm titiriw;cardinal point
asɛmfua;term
asɛmfua;vocabulary
asɛmfua;word
asɛmfua a enni awiei;infinitive
asɛmfua a wɔabom ayɛ;compound word
asɛmfua a wɔatwa no tiaa;acronym
asɛmfua a wɔatwa no tiaa;acronymization
asɛmfua a wɔatwa no tiawa;abbreviation
asɛmfua a wɔde di dwuma;term of address
asɛmfua a wɔde di dwuma kɛse;buzzword
asɛmfua a wɔde di dwuma wɔ adeyɛ mu;adverbial phrase
asɛmfua a wɔde di dwuma wɔ asɛmfua mu;adverbialization
asɛmfua a wɔde di kan;prefixation
asɛmfua a wɔde gyina hɔ ma;adjectivization
asɛmfua a wɔde gyina hɔ ma;byword
asɛmfua a wɔde gyina hɔ ma;crossword
asɛmfua a wɔde gyina hɔ ma;paraphrase
asɛmfua a wɔde hyɛ akyi;suffixation
asɛmfua a wɔde hyɛ ase;subjunctive
asɛmfua a wɔde hyɛ ase;subordinate clause
asɛmfua a wɔde kyere nkurɔfo;catchphrase
asɛmfua a wɔde kyerɛ ɔdɔ;term of endearment
asɛmfua a wɔde kyerɛw nsɛm;thesaurus
asɛmfua a wɔde yɛ adwinni;term of art
asɛmfua a ɛka bom;conjunctive
asɛmfua a ɛkyerɛ adeyɛ asɛm;adverbial clause
asɛmfua a ɛkyerɛ adeyɛ asɛm;adverbial participle
asɛmfua a ɛkyerɛ biribi;adjectival
asɛmfua a ɛkyerɛ biribi a obi wɔ;possessive adjective
asɛmfua a ɛkyerɛ biribi a ɛwɔ akyi;possessive suffix
asɛmfua a ɛne ne ho di nsɛ;homonym
asɛmfua a ɛne ne ho di nsɛ;synonym
asɛmfua a ɛne ne ho di nsɛ;synonymous
asɛmfua a ɛsono emu biara;heteronym
asɛmfua biara;verbatim
asɛmfua biara;word for word
asɛmfua mu edin;verbal noun
asɛmfua pɔtee bi;concrete term
asɛmfua tiawa;abbreviature
asɛmfua titiriw;keyword
asɛmfua-asɛmfua;word-for-word
asɛmmisa;missive
asɛmmisa;question
asɛmmisa a ɛfa kasakoa ho;rhetorical question
asɛmmisa agyiraehyɛde;question mark
asɛmmisa kasa;query language
asɛmmɔne;bad luck
asɛmmɔne;bad news
asɛmmɔne;misfortune
asɛmpa nnwom;gospel music
asɛmpa no;gospel
asɛmpaka a wɔka;evangelization
asɛmpatrɛw asɛm;mission statement
asɛmpatrɛwfo;missionary
asɛmpatrɛwfo dibea;missionary position
asɛmpɔ;concept
asɛmti;motto
asɛmti;slogan
asɛmti a wɔde di dwuma;subject matter
asɛmti a wɔde di dwuma;subjectivity
asɛmti a wɔde di dwuma;topical
asɛmti a ɛnyɛ asɛmti;off-topic
asɛmti dwom;theme song
asɛmti ho asɛm;thematic
asɛmti ketewaa bi;subheading
asɛmti ketewaa bi;subtitle
asɛmti no;headline
asɛmti no;thesis
asɛmti ti;headword
asɛndua mu;impalement
asɛndua mu a wɔbɔɔ no;crucifixion
asɛndua so;impale
asɛnhia;priority
asɛnka;claim
asɛnka;expression
asɛnka;narrative
asɛnka;quotation
asɛnka;quote
asɛnka;sermon
asɛnka a wɔde kɔ nkurɔfo nkyɛn;outreach
asɛnka a wɔka;homily
asɛnka agua so;lectern
asɛnka agua so;podium
asɛnka agua so;pulpit
asɛnka agua so;rostrum
asɛnka agua so;staging
asɛnka agua so agodie;platform game
asɛnka nni ho;excellent
asɛnni a nsɛm ho amanneɛbɔfo de di dwuma;trial by media
asɛnni baguafo;juror
asɛnni baguafo;jury
asɛnni baguafo asɛnni;jury trial
asɛnni baguafo kɛse;grand jury
asɛnnibea;court
asɛnnibea;tribunal
asɛnnibea a wɔde asɛm kɔdan asɛnnibea;appellate court
asɛnnibea a ɛhwɛ asɛm no so;court of cassation
asɛnnibea a ɛhwɛ mmara so;court of law
asɛnnibea ahyɛde;court order
asɛnnibea aseresɛm;court jester
asɛnnibea dan mu;courtroom
asɛnnibea ho nyansahu;forensic science
asɛnnibea kunini;superior court
asɛnnibea kunini no;supreme court
asɛnnibea ntamgyinafo;arbitration
asɛnnua;stem
asɛnnua a wɔde abɔ asɛnnua;crucifix
asɛnnua no ho sɛnkyerɛnne;sign of the cross
asɛyɛde;oblige
asɛyɛde;obliging
ataadeɛ;outfit
ataadeɛ nsa;sleeve
atade a wɔde guare;bathrobe
atade a wɔde hyɛ;cloak
atade a wɔde hyɛ;garb
atade a wɔde hyɛ;garment
atade a wɔde hyɛ;gown
atade a wɔde hyɛ mu;coat rack
atade a wɔde hyɛ wɔn ho;dressing gown
atade a wɔde nneɛma ahyɛ mu;stuffed shirt
atade a wɔde sɛn atade so;coat hanger
atade a ɛyɛ pink;pink jersey
atade fitaa a wɔde hyɛ;white coat
atade kɔkɔɔ;yellow jersey
atade kɛse;greatcoat
atade tuntum;blackshirt
atade tuntum ketewaa bi;little black dress
atadeɛ;material
atadeɛ;uniform
atadeɛ atadeɛ;robe
atadeɛ kɔn;collar
ataman;ataman
atamfo;inimical
ataraxia a ɛma obi ho yɛ hyew;ataraxia
atare akɛse;Great Lakes
atavistic a wɔde di dwuma;atavistic
ataxia a ɛma obi nya ataxia;ataxia
ate aseɛ;understood
ateasefo a wɔawuwu;living dead
atelophobia a ɛyɛ hu;atelophobia
atemmu a etwa to;Last Judgment
atemmu a wɔde ma;judgment
atemmu a wɔde mae;verdict
atemmu baa dwumadibea;judicial branch
atemmu da;judgement day
atemmu mu;judicial
atemmufo;Judges
atemoya;atemoya
atenaeɛ;environment
atenaeɛ;habitat
atenaseɛ;existence
atene, na ɛwɔ hɔ;Athens
atenefo;Athenian
atenka;emotional
atenka;feeling
atere;fork
atere;spoon
atesɛm krataa;newspaper
atesɛm krataa aguadidan;newsstand
atesɛm krataa ho aguadifo;newsagent
atesɛm mu asɛm;Newspeak
atetesɛm a wɔde ano ka;oral tradition
athena na ɔkyerɛwee;Athena
atherectomy a wɔde twa ntini;atherectomy
athermic a ɛyɛ hyew;athermic
athonitefoɔ;Athonite
athwart na ɛyɛ;athwart
atia aburow no;against the grain
atiefo dan mu;auditorium
atiefoɔ;audience
atifi;north
atifi asɛm;topic
atifi fam;northern
atifi fam aboa nhoma nsɔano;northern fur seal
atifi fam akanea ahorow;northern lights
atifi fam apuei;northeast
atifi fam asasesin;Northern Territory
atifi fam atɔe;northwest
atifi fam fam;Northern Hemisphere
atifi fam flicker;northern flicker
atifi fam lapwing;northern lapwing
atifi fam mframa;north wind
atifi fam pintail a ɛwɔ hɔ;northern pintail
atifi fam po no;North Sea
atifi fam po no kwan;Northern Sea Route
atifi fam pole;north pole
atifi fam wuram aburow;northern wild rice
atifi famfo;northerner
atipɛnfo nhwehwɛmu;peer review
atipɛnfo nhyɛso;peer pressure
atiri;header
atiridii kɔkɔɔ;yellow fever
atiridiinini;atrial
atiridiinini;febrile
atiridiinini;feverish
atiridiinini;influenza
atiridiinini;migraine
atiridiinini a ɛtaa ba;common cold
atiridiinini a ɛyɛ den;atrial fibrillation
atiridiinini a ɛyɛ den;fever pitch
atiridiinini a ɛyɛ kɔkɔɔ;scarlet fever
atiridiinini ho adesua;craniology
atiridiinini mu;feverishly
atirimpɔw a ɛyɛ sum ase;ulterior motive
atirimpɔw ahorow pii;multipurpose
atirimpɔw mu;purposefully
atirimuɔden;cruel
atirimuɔden;wicked
atirimɔden asenni;Inquisition
atirimɔden so;brutally
atirimɔden so;cruelly
atirimɔden so;ruthlessly
atirimɔden so;stubbornly
atirimɔden so;viciously
atirimɔdenfo;despotic
atirimɔdenfo;obstinate
atirimɔdenfo;ruthless
atirimɔdenfo;tyrannical
atirimɔdensɛm;acrimonious
atirimɔdensɛm;acrimony
atirimɔdensɛm;atrocious
atirimɔdensɛm;atrocity
atirimɔdensɛm;barbarism
atirimɔdensɛm;blackmail
atirimɔdensɛm;brutal
atirimɔdensɛm;brutality
atirimɔdensɛm;charlatanry
atirimɔdensɛm;cruelty
atirimɔdensɛm;extremism
atirimɔdensɛm;ferocious
atirimɔdensɛm;intrigue
atirimɔdensɛm;noxious
atirimɔdensɛm;obstinacy
atirimɔdensɛm;ruderal
atirimɔdensɛm;stubbornness
atirimɔdensɛm;tyrannize
atirimɔdensɛm;tyranny
atirimɔdensɛm;vehemence
atirimɔdensɛm a wɔde di dwuma;scheming
atirimɔdensɛm a wɔko tia;antiterrorism
atirimɔdensɛm a wɔko tia;counter-terrorism
atirisopam a wɔyɛ;conspiracy
atirisopam ho nsusuwii;conspiracy theory
atirisopamfo;conspirator
atiti asɛm;title
atkins aduan a wɔde di dwuma;Atkins diet
atlanta;Atlanta
atlantic;Atlantic
atlantic akutu a wɔfrɛ no herring;Atlantic herring
atlantic po no;Atlantic Ocean
atlantic salmon a wɔfrɛ no salmon;Atlantic salmon
atlantic tomcod a wɔfrɛ no tomcod;Atlantic tomcod
atlantis na ɛwɔ hɔ;Atlantis
atlas a wɔde yɛ adwuma;atlas
atlas mmepɔw so;Atlas Mountains
atlatl;atlatl
atm a wɔde yɛ adwuma;ATM
ato din ama;dedicated
atoko a wɔayam;corn flakes
atoko a wɔayam;corncob
atoko a wɔayam;cornhusking
atoko a wɔayam;cornmeal
atoko a wɔde ayɛ;maize
atoko a wɔde ayɛ atoko;corn on the cob
atoko a wɔde ayɛ smut;corn smut
atoko a wɔde yɛ atoko;cornrow
atoko a wɔde yɛ atoko;cornstarch
atoko a wɔfrɛ no legume;legume
atoko a wɔfrɛ no millet;millet
atoko a ɛyɛ bruu;blue corn
atoko a ɛyɛ dɛ;sweet corn
atoko afuw;cornfield
atoko esiam;cornflour
atoko krak;corncrake
atoko kraman;corn dog
atoko nhwiren;cornflower
atoko nufusu;peanut milk
atoko salad a wɔde yɛ salad;corn salad
atoko srade a wɔde yɛ aduru;corn syrup
atoko ɔwɔ;corn snake
atoll a ɛwɔ hɔ;atoll
atom;atom
atom a ɛyɛ den;atomic mass
atom a ɛyɛ den;atomicity
atom ahoɔden;atomic energy
atom dodow a ɛfa ho;relative atomic mass
atom ho nsɛm;atomic
atom mu duru;atomic weight
atom nuklea a ɛwɔ nipadua no mu;atomic nucleus
atom nɔma;atomic number
atom ɔtopae a wɔde tow;atomic bomb
atomize;atomize
atomizer a wɔde yɛ nneɛma;atomizer
atomoxetine a wɔde yɛ aduru;atomoxetine
atonal a ɛyɛ den;atonal
atonnuane;grocery
atopae a wɔde tow;grenade
atopae a wɔde tow atopae;ballistic missile
atopae a wɔde tow atopae;grenade launcher
atopae a wɔde tow atopae;minefield
atopae a wɔtow gu;bombardment
atopic ho asɛm;atopic
atopy a wɔde yɛ adwuma;atopy
atoro;bogue
atoro;bogus
atoro;counterfeit
atoro;forged
atoro;hoax
atoro;phony
atoro;sham
atoro;spurious
atoro a wɔde di dwuma;falsifiability
atoro a wɔka;falsification
atoro a wɔka;mendacity
atoro a wɔyɛ;forgery
atoro a wɔyɛ;imposture
atoro a wɔyɛ;perfidy
atoro a wɔyɛ;pretension
atoro a ɛtɔ gu fam;false drop
atoro adamfo;false friend
atoro adansedi;perjury
atoro ka ntam;perjure
atoro nhoma;fake book
atoro nhumu;false consciousness
atoro nkyerɛkyerɛ;heresiarch
atoro nkyerɛkyerɛ;heresy
atoro nyansahu;pseudoscience
atoro so;falsely
atoro trevally;false trevally
atorofo;forger
atorofo;heretical
atorofo;perfidious
atorosɛm;mendacious
atosodeɛ;vegetable
atosɛm;falsehood
atosɛm fitaa;white lie
atosɛm nni nan;a lie has no legs
atovaquone a wɔde di dwuma;atovaquone
atowerɛnkyɛm;disaster
atrae a wɔtra mu;habitacle
atrae a wɔtra mu;habitation
atrae a wɔtra mu;residence
atrium a ɛwɔ nipadua no mu;atrium
atrophic a ɛyɛ mmerɛw;atrophic
atrophy a ɛyɛ mmerɛw;atrophy
atropine a wɔde yɛ adwuma;atropine
attaché a wɔde bata ho;attaché
attainder a ɔnya;attainder
attenuation a ɛyɛ mmerɛw;attenuation
attica;Attica
atticus na ɔkyerɛwee;Atticus
attila a ɔyɛ hun no;Attila the Hun
attribution a wɔde ma;attribution
attrition a ɛyɛ mmerɛw;attrition
attune a wɔde di dwuma;attune
atu mpɔn;developed
atu mpɔn;improved
atuatew;mutiny
atuatew;rebellion
atuatew;revolt
atuatew a wɔde dii dwuma;coup d'état
atuatew a wɔyɛ;rebelliousness
atuatew a wɔyɛe;sedition
atuatew a wɔyɛe;uprising
atuatewfo;coupist
atuatewfo;insurgent
atuatewfo;mutineer
atuatewfo;mutinous
atuatewfo;rebel
atuatewfo;rebellious
atuatewfo;recalcitrant
atuatewfo;seditious
atuatewfo a wɔsɔree;insurrection
atuatewfo a wɔyɛ atuatewfo;guerrilla
atubrafo;colonist
atubrafo;emigrant
atubrafo;immigrant
atubrafo;migrant
atubrafo;nomadic
atubrafo a mmara mma ho kwan;illegal immigrant
atubrafo a wɔayi afi hɔ;decolonization
atubrafo a wɔde wɔn ho hyɛ mu;nomadism
atubrafo a wɔyɛ wɔn ade;colonization
atubrafo a wɔyɛe;colonialism
atubrafo de;colonial
atubrafo ho nsɛm;immigration
atuhoama adwuma;volunteering
atuo a wɔde di dwuma;ammunition
atuo a wɔde di dwuma;artillery
atuo a wɔde di dwuma;firearm
atuo a wɔde di dwuma;gunship
atuo a wɔde di dwuma;gunsmith
atuo a wɔde tow hyɛ nkurɔfo so;assault rifle
atuo a wɔde tow tuo;marksmanship
atuo a wɔde yɛ atuo;gunpowder
atuo hyɛmma a wɔde di dwuma;gunboat
atuo ntumi nkɔ mu;bulletproof
aturopo;eggplant
atutra a wotu kɔtra mmeae foforo;emigration
atutra a wɔde kɔ baabi foforo;transmigration
atutra a wɔde kɔ mmeae foforo;migration
atutrafo;migratory
atuu;caress
atuu m’ano;kiss me
atv a wɔde di dwuma;ATV
atwa ho ahyia;circumference
atwa ho ahyia;circumnavigation
atwa ho ahyia;circumvallation
atwa ho ahyia;perimeter
atwa ho ahyia;surrounding
atwam;ago
atwam;elapse
atwam;expired
atwam;obsolete
atwam anim;past anterior
atweaatam;sackcloth
atwedeɛ;ladder
atwedeɛ;stairs
atweetwee;sarcastic
atwerɛ;article
atwerɛ;text
atwerɛ;written
atwerɛkan;draft
atwerɛkan;draught
atwetwe adwene;allure
atwetwe adwene;attractiveness
atwitwa a wɔatwa;amputation
atwitwa a wɔatwitwa;mutilation
atypical;atypical
atɔ baha;depressed
atɔe fam;west
atɔe fam;western
atɔe fam a wɔfrɛ no capercaillie;western capercaillie
atɔe fam de;occidental
atɔe fam fasu;Western Wall
atɔe famfo;westerner
atɔe famfo;westernize
atɔe famfo a wɔde wɔn ho hyɛ mu;westernization
atɛkyɛ;alga
atɛkyɛ;marsh
atɛkyɛ;marshy
atɛkyɛ;mire
atɛkyɛ;mortar
atɛkyɛ;mud
atɛkyɛ;muddy
atɛkyɛ;puddle
atɛkyɛ;swamp
atɛkyɛ a wɔfrɛ no algae;algae
atɛkyɛ a ɛtwetwe;mudslide
atɛkyɛ a ɛyɛ ahabammono;green alga
atɛkyɛ a ɛyɛ atɛkyɛ;quagmire
atɛkyɛ a ɛyɛ atɛkyɛ;swampy
atɛkyɛ ho banbɔ;mudguard
atɛkyɛ mu akuturukubɔ;mud wrestling
atɛkyɛ mu harrier;marsh harrier
atɛkyɛ mu marigold;marsh marigold
atɛkyɛ ne pestle;mortar and pestle
atɛkyɛ ntɔkwaw;mud fight
atɛmpa;judicious
atɛnnie;insult
atɛntenenee;jussive
atɛntrenee a wɔyɛ;fairness
au contraire na ɛwɔ hɔ;au contraire
au pair na ɛyɛ;au pair
au revoir na ɛyɛ adwuma;au revoir
aubade na ɛyɛ;aubade
auburn a ɛyɛ fɛ;auburn
auckland na ɛwɔ hɔ;Auckland
audiometer a wɔde kyerɛw nsɛm;audiometer
audiometry a wɔde kyerɛw nsɛm;audiometry
audiomotor a wɔde yɛ nneɛma;audiomotor
audition a wɔde yɛ adwuma;audition
auger a wɔfrɛ no auger;auger
augite;augite
augment;augment
augmentative a ɛma nneɛma yɛ kɛse;augmentative
augsburg na ɔkyerɛwee;Augsburg
augur a wɔde kyerɛ;augur
augury ho asɛm;augury
augustine na ɔkyerɛwee;Augustine
augusto;Augustus
auk;auk
aunt kɛse;great-aunt
aura;aura
aural a wɔde tie asɛm;aural
aurally;aurally
aurelia na ɔkyerɛwee;Aurelia
aurelius na ɔkyerɛwee;Aurelius
aureola a ɛyɛ aureola;aureola
auric;auric
auricle a ɛyɛ fɛ;auricle
auricular a wɔde di dwuma;auricular
auricular muscle a ɛwɔ nipadua no mu;auricular muscle
auriferous a ɛyɛ den;auriferous
auriga na ɔkyerɛwee;Auriga
aurochs a wɔde kyerɛw nsɛm;aurochs
aurora a wɔfrɛ no aurora;aurora
auschwitz na ɔkyerɛwee;Auschwitz
auscultate a wɔde tie asɛm;auscultate
ausonius na ɔkyerɛwee;Ausonius
auspices a wɔde gyina hɔ ma;auspices
austere a ɛyɛ katee;austere
austral kasa mu;austral
australasia na ɛwɔ hɔ;Australasia
australia;Australia
australia atɔe fam;Western Australia
australia dɔla;Australian dollar
australia kesee fam;South Australia
australia nhyehyɛe;Order of Australia
australiafo akraman a wɔfrɛ wɔn pelican;Australian pelican
australiani;Australian
austria;Austria
austria man a ɛwɔ hɔ;Republic of Austria
austria-hungary na ɛwɔ hɔ;Austria-Hungary
austriafo kasa;Austrian
auteur a ɔkyerɛwee;auteur
autism a ɛwɔ nipadua no mu;autism
autist ho ɔyaresafo;autist
autisticfo a wɔwɔ hɔ;autistic
auto da fe;auto da fe
auto-reply a wɔde ma;auto-reply
autoantibody a ɛko tia nyarewa;autoantibody
autoblock a wɔde siw ano;autoblock
autocatalysis a ɛyɛ adwuma;autocatalysis
autocephalous a ɛyɛ ne ho;autocephalous
autochthon a wɔde di dwuma;autochthon
autochthonous a ɛyɛ nea ɛwɔ hɔ;autochthonous
autoclave a wɔde hyɛ mu;autoclave
autoconfirm a wɔde si so dua;autoconfirm
autoconfirmed a wɔde si so dua;autoconfirmed
autocrat a ɔyɛ ɔmanpanyin;autocrat
autodidact a ɔkyerɛkyerɛ obi ankasa;autodidact
autofocus a wɔde wɔn adwene si biribi so;autofocus
autoimmune a nipadua no tumi ko tia nyarewa;autoimmune
autoimmunity a ɛma nipadua no tumi ko tia nyarewa;autoimmunity
autolysis a ɛma nipadua no yɛ adwuma;autolysis
automagical a wɔde yɛ adwuma;automagical
automate na ɛyɛ adwuma;automate
automatic;automatic
automation a wɔde yɛ adwuma;automation
automatism a wɔde yɛ adwuma;automatism
autoological;autological
autophagy a wɔde di dwuma;autophagy
autopilot a ɔde ne ho hyɛ mu;autopilot
autosome a ɛwɔ nipadua no mu;autosome
autotomy a wɔde yɛ adwuma;autotomy
autotroph a ɛma obi nya ne ho;autotroph
autotrophic a ɛma obi nya ne ho;autotrophic
auxin a wɔde yɛ adwuma;auxin
avail;avail
avant-garde a wɔde di dwuma;avant-garde
avar;Avar
avatar a wɔde di dwuma;avatar
avellino na ɔkyerɛwee;Avellino
aventurine a wɔde yɛ nneɛma;aventurine
avenue a ɛwɔ hɔ;avenue
aver;aver
averse;averse
avert;avert
avestan kasa;Avestan
avicenna na ɔkyerɛwee;Avicenna
avid;avid
avignon na ɛwɔ hɔ;Avignon
avilés na ɔkyerɛwee;Avilés
avitaminosis a ɛwɔ nipadua no mu;avitaminosis
avocado a wɔde afrafra;avocado
avocation a wɔde yɛ adwuma;avocation
avocet a wɔde di dwuma;avocet
avogadro nɔma no;Avogadro's number
avow a wɔka kyerɛ;avow
avowal a wɔka kyerɛ;avowal
avulsion a ɛyɛ hu;avulsion
aware;married
aware a wɔadi afra;mixed marriage
aware a wɔde wɔn ho hyɛ mu;mating
aware akyi;extramarital
aware dodow aware;polygamy
aware ho adansedi krataa;marriage certificate
aware mu tebea;marital status
aware nhyehyɛe;marriage agency
awarefo a wɔaware;married couple
awarefo a wɔne wɔn ho da;gay couple
awarefo a wɔtetew wɔn ho;decouple
awarefo a wɔyɛ kakraa bi;minimal pair
awarefo foforo;newlywed
awarefoɔ;couple
awarefoɔ;dowager
awaregyae;courtship
awaregyae;dowry
awaregyaefo;divorcee
awaregyaeɛ;divorce
awaregyaeɛ;divorcé
awaresɛe;adulterate
awaresɛe;adulteration
awaresɛe;adultery
awaresɛefo;adulterous
awareɛ;marriage
awash;awash
aweredi;avenge
aweredi a wɔde di dwuma;reprisal
aweredi a wɔde di dwuma;vengeance
aweredi a wɔde di dwuma;vindictive
aweredi a wɔde tua ho ka;retribution
aweredi a wɔde tua so ka;retaliation
aweredi nguamansɛm;revenge porn
aweredifo;avenger
aweredifo;vengeful
awerɛhosɛm;tragedy
awerɛhosɛm;tragic
awerɛhosɛm a ɛyɛ aseresɛm;tragicomic
awerɛhosɛm mu;miserably
awerɛhosɛm ne sɛ;alas
awerɛhosɛm ne sɛ;regretfully
awerɛhosɛm ne sɛ;regrettably
awerɛhosɛm ne sɛ;sadly
awerɛhosɛm ne sɛ;unfortunate
awerɛhow;deplore
awerɛhow;dismal
awerɛhow;sad
awerɛhow;sadden
awerɛhowdi;anguish
awerɛhowdi;anguished
awerɛhowdi;bereave
awerɛhowdi;bereavement
awerɛhowdi;bitterness
awerɛhowdi;chagrin
awerɛhowdi;doleful
awerɛhowdi;lament
awerɛhowdi;melancholy
awerɛhowdi;mourning
awerɛhowdi;rueful
awerɛhowdi;sadness
awerɛhowdi dɔ fekubɔ;misery loves company
awerɛhowdifo;melancholic
awerɛhowdifo;sorrowful
awerɛhoɔ;grief
awerɛhoɔ;sorrow
awerɛhyem a wɔde ma;assurance
awerɛhyem a ɛwɔ hɔ;certitude
awerɛhyem a ɛyɛ nokware;certainty
awerɛhyɛmu;trust
awerɛkyekye;solace
awerɛkyekye botae;consolation goal
awerɛkyekye nkonimbo;consolation prize
awerɛkyekyesɛm;comforting
awerɛkyekyesɛm;condolence
awerɛkyekyesɛm;condolences
awerɛkyekyesɛm;consolation
awerɛkyekyesɛm;disconsolate
awerɛtɔ;revenge
awi a wɔde ayɛ;wheaten
awi afuw;wheatfield
awi esiam;wheat flour
awi mu mmoawa;wheat germ
awia;afternoon
awia;stolen
awia;sun
awia;sunny
awia aduan adaka;lunchbox
awia aduane;lunch
awia adwumayɛfo;dayworker
awia daefo;daydreamer
awia hann bere a wɔde yɛ adwuma;daylight saving time
awia mfinimfini;midafternoon
awiabere;daybreak
awiabere;daytime
awiabɔ;sunshine
awie;completion
awie;conclusion
awieeɛ;end
awieeɛ da;deadline
awiei a wɔde wie;finish line
awiei koraa;climax
awiei koraa;end up
awiei koraa;finale
awiei koraa no;at last
awiei koraa no;eventual
awiei koraa no;in the end
awiei koraa no;ultimately
awiei koraa no thule;ultima Thule
awiei no;The End
awiei wɔ n’ankasa mu;end in itself
awl;awl
awning a wɔde yɛ adwuma;awning
awo;beget
awo;birth
awo;give birth
awo a wɔawuwu;stillbirth
awo a wɔawuwu;stillborn
awo a wɔde ma;fertility
awo a wɔde ma;parturition
